map,orbit_map,target_p,observable,xi_true,lambda,orbit_id,orbit_seed,k,i_star,series_len_m,N_k,mu_hat,sigma_hat,xi_hat,mu_star_hat,sigma_star_hat,n_S_all,S_all_min,S_all_max,segment,n_used,alpha,istar_rule
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,4,11469920999871612928,10,170.0,29991,176.0,1.4405025537538707,0.032920861798885016,-0.09757011007880825,1.301938276436388,0.025267018236053408,78,170.0,765.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,1,15.0,30000,2000.0,2.732506152861909,0.692444609768232,0.3550725601900472,2.102603777682584,0.46878356074351757,198,15.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,2,35.0,29999,857.0,1.851824554954867,0.06241629576995777,-0.7655636354915216,1.5717006229867327,0.16286085142985526,1,35.0,35.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,3,,29998,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,5,580.0,29996,51.0,1.5642449447617959,0.004694390254596037,-0.7766087205757396,1.3278224705550525,0.021863777000800774,1,580.0,580.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,6,690.0,29995,43.0,1.5622367407942304,0.005743376873562949,-0.7234997068368361,1.2896763708235515,0.016534597931314773,39,690.0,990.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,8,105.0,29993,285.0,1.4634305159310685,0.04665487056894256,-0.4777209924976559,1.1429009536701695,0.019673900227450178,9,105.0,150.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,9,165.0,29992,181.0,1.4496884404426684,0.03541041614157433,-0.12853069975089315,1.2933729799499971,0.02721284336850467,30,165.0,345.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,5,10776096992657897472,10,235.0,29991,127.0,1.445995057925197,0.03157237872994134,-0.07229946485184374,1.3058325595169047,0.02656564200057907,101,235.0,905.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,1,25.0,30000,1200.0,3.1834395916972182,0.8210614882211593,0.30147179304198857,2.13645144512052,0.5054240943789737,183,25.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,2,30.0,29999,999.0,1.8468968750095391,0.07042332823493985,-0.8181379964624935,1.5601322194918743,0.1730085528971656,1,30.0,30.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,3,35.0,29998,857.0,1.5721997318558278,0.037260711787485676,-0.7642487150497324,1.405238841363355,0.0571468982600282,3,35.0,45.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,6,,29995,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,8,100.0,29993,299.0,1.4577493455432995,0.0527420331623574,-0.5375743805465885,1.0648184155602995,0.01944353236553549,4,100.0,120.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,9,155.0,29992,193.0,1.452780308361541,0.038475777369124005,-0.2059391818055024,1.2606643001622877,0.024909570657734286,32,155.0,750.0,test,30000,0.01,min
